name,email,sector,city,phone,website,address,formations,description,url
GARTI - École Supérieure de Graphisme,garti@ecolegarti.com,"Design, Graphisme, 3D, Vidéo, Mode",Paris,33175611000,Non trouvé,,,,https://diplomeo.com/etablissement-garti_ecole_superieure_de_graphisme-8109
"Ynov 3D, Animation & Jeux Vidéo - Paris Ouest",contact-paris@ynov.com,"Design, Graphisme, 3D, Vidéo, Mode",Nanterre,0148070702,https://www.ynov.com/campus/paris/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-ynov_3d_animation_jeux_video_paris_ouest-10148
CREAPOLE ESDI,admi@creapole.fr,"Design, Graphisme, 3D, Vidéo, Mode",Paris 1er,33144882020,https://www.creapole.fr?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-creapole_esdi-235
MJM Graphic Design - Nantes,nantes@mjm-design.com,"Design, Graphisme, 3D, Vidéo, Mode",Nantes,33251840633,Non trouvé,,,,https://diplomeo.com/etablissement-mjm_graphic_design_nantes-7883
Ecole Internationale de Mode - Paris,sc@eidm.fr,"Design, Graphisme, 3D, Vidéo, Mode",Paris,33145776802,https://www.ecoledemode.fr/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-ecole_internationale_de_mode_paris-9888
MODART INTERNATIONAL - PARIS,admissions@modart-paris.com,"Design, Graphisme, 3D, Vidéo, Mode",Paris,33158393672,https://modart-paris.com/?utm_source=diplomeo&utm_medium=fiche-ecole&utm_campaign=campagne-2023-2024-campus-paris&utm_content=texte-home?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-modart_international_paris-11274
MJM Graphic Design - Lille,lille@mjm-design.com,"Design, Graphisme, 3D, Vidéo, Mode",Lille,0320334434,https://mjm-design.com/?utm_source=Diplomeo_Fiche&utm_medium=Fiche_ecole_Lille?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-mjm_graphic_design_lille-11524
EFET STUDIOCREA - AIX-EN-PROVENCE,admissions-aix@studiocreaparis.com,"Design, Graphisme, 3D, Vidéo, Mode",Aix-en-Provence,33442646200,Non trouvé,,,,https://diplomeo.com/etablissement-efet_studiocrea_aix_en_provence-11697
EFET STUDIOCREA - GRENOBLE,admissions-grenoble@studiocreaparis.com,"Design, Graphisme, 3D, Vidéo, Mode",Grenoble,0476469059,Non trouvé,,,,https://diplomeo.com/etablissement-efet_studiocrea_grenoble-11698
EFET STUDIO CRÉA - LILLE,c.navez@eductive.fr,"Design, Graphisme, 3D, Vidéo, Mode",Lille,33320400012,Non trouvé,,,,https://diplomeo.com/etablissement-efet_studio_crea_lille-11699
EFFICOM DESIGN SCHOOL - LILLE,lille@efficom.fr,"Design, Graphisme, 3D, Vidéo, Mode",Lille,33320060289,https://www.efficom.fr/design_school/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-efficom_design_school_lille-11715
MODART INTERNATIONAL - LYON,c.rebatet@sciences-u.fr,"Design, Graphisme, 3D, Vidéo, Mode",Lyon,0426290110,https://modart-paris.com/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-modart_international_lyon-11737
1984 School of design,info@1984.schools,"Design, Graphisme, 3D, Vidéo, Mode",Paris,0142590582,https://www.1984.school/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-1984_school_of_design-11831
EFET STUDIOCREA - REIMS,campus-reims@eductive.fr,"Design, Graphisme, 3D, Vidéo, Mode",Reims,33326866464,Non trouvé,,,,https://diplomeo.com/etablissement-efet_studiocrea_reims-11916
EFET STUDIOCREA - LYON,a.marcel@sciences-u.fr,"Design, Graphisme, 3D, Vidéo, Mode",Lyon 3e,33426290106,Non trouvé,,,,https://diplomeo.com/etablissement-efet_studiocrea_lyon-11917
EFET STUDIOCREA - TOULOUSE,admission@eductive.fr,"Design, Graphisme, 3D, Vidéo, Mode",Toulouse,33635155000,Non trouvé,,,,https://diplomeo.com/etablissement-efet_studiocrea_toulouse-11919
MODART INTERNATIONAL - LILLE,admissions.euralille@eductive.fr,"Design, Graphisme, 3D, Vidéo, Mode",Lille,33320060289,https://modart-paris.com/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-modart_international_lille-11936
MJM Graphic Design - Marseille,marseille@mjm-design.com,"Design, Graphisme, 3D, Vidéo, Mode",Marseille,0491313333,https://www.mjm-design.com/ecole/marseille?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-mjm_graphic_design_marseille-12477
ESDAC Paris,info@esdac-paris.fr,"Design, Graphisme, 3D, Vidéo, Mode",Paris 5e,33187044700,https://ecole-esdac.com/?utm_source=diplomeo&utm_medium=referral&utm_campaign=minisite?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-esdac_paris-12536
EFET STUDIOCREA - RENNES,rennes@eductive.fr,"Design, Graphisme, 3D, Vidéo, Mode",Rennes,33219139001,https://www.efet-studiocrea.com/campus/rennes/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-efet_studiocrea_rennes-12912
Studio M Strasbourg,contact-strasbourg@studio-m.fr,"Design, Graphisme, 3D, Vidéo, Mode",Strasbourg,0388375900,Non trouvé,,,,https://diplomeo.com/etablissement-studio_m_strasbourg-22742
