name,email,sector,city,phone,website,address,formations,description,url
IESEG School of Management Lille,ieseg@ieseg.fr,École de gestion et de commerce,Lille,33320545892,Non trouvé,,,,https://diplomeo.com/etablissement-ieseg_school_of_management_lille-2879
IESEG School of Management Paris,ieseg@ieseg.fr,École de gestion et de commerce,Paris,33320545892,https://www.ieseg.fr/?utm_source=PartDiplomeo20240314Ecole&utm_medium=FicheEcole&utm_campaign=RFrance?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-ieseg_school_of_management_paris-2885
Clermont School of Business,info@esc-clermont.fr,École de gestion et de commerce,Clermont-Ferrand,33473982424,https://www.clermont-sb.fr/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-clermont_school_of_business-2922
Aurlom BTS +,aurlombtsplus@gmail.com,École de gestion et de commerce,Paris,33140411238,https://www.aurlom.com/bts.html?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-aurlom_bts-7345
H3 Campus Paris,contact@h3campus.fr,École de gestion et de commerce,Paris,33142800049,https://h3campus.fr/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-h3_campus_paris-7410
IRIIG,contact@iriig.com,École de gestion et de commerce,Lyon 7e,0484350526,https://www.iriig.com/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-iriig-11829
FMS - L’école de commerce du Food Business - Paris,admission@fms-school.com,École de gestion et de commerce,Paris,0184831470,https://food-management-school.com/?utm_source=Diplomeo&utm_medium=mini+site+FMS+sur+diplomeo&utm_campaign=Site+FMS+diplomeo&utm_content=bouton+site+fms?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-fms_l_ecole_de_commerce_du_food_business_paris-12359
SMBS - L'école de commerce de la santé - Paris,smbs@smbs-school.com,École de gestion et de commerce,Paris 13e,33184831471,https://sante-management-school.com/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-smbs_l_ecole_de_commerce_de_la_sante_paris-13181
Ecole de Management de Normandie - Paris,admissions@em-normandie.fr,École de gestion et de commerce,Paris,33175000076,https://www.em-normandie.com/?utm_source=site_referencement&utm_medium=site_lien&utm_campaign=diplomeo?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-ecole_de_management_de_normandie_paris-25
Ecole de Management de Normandie - Caen,admissions@em-normandie.fr,École de gestion et de commerce,Caen,330231467878,https://www.em-normandie.com/?utm_source=site_referencement&utm_medium=site_lien&utm_campaign=diplomeo?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-ecole_de_management_de_normandie_caen-27
IFAG - Institut de formation aux affaires et à la gestion - Auxerre,recrutement.es@pole-formation.net,École de gestion et de commerce,Auxerre,33608777568,https://www.ifag.com/campus/auxerre?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-ifag_institut_de_formation_aux_affaires_et_a_la_gestion_auxerre-423
ESPAS,espas@univ-catholille.fr,École de gestion et de commerce,Lille,0320549090,https://ecole-espas.fr/?utm_source=partenaires&utm_medium=résultatsderecherchenaturels&utm_campaign=diplomeo?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-espas-1009
ESICAD - Ecole supérieure privée de commerce et gestion - Montpellier,montpellier@esicad.com,École de gestion et de commerce,Montpellier,33467105756,https://www.esicad.com/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-esicad_ecole_superieure_privee_de_commerce_et_gestion_montpellier-1013
