name,email,sector,city,phone,website,address,formations,description,url
"IUFM, Université de Caen Basse-Normandie",Non trouvé,Institut national supérieur du professorat et de l'éducation,Caen,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_universite_de_caen_basse_normandie-6751
"IUFM site de George V, centre de Nice, Université de Nice - Sophia Antipolis",Non trouvé,Institut national supérieur du professorat et de l'éducation,Nice,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_site_de_george_v_centre_de_nice_universite_de_nice_sophia_antipolis-6752
"IUFM site de Gilet, centre de Draguignan, Université de Nice - Sophia Antipolis",Non trouvé,Institut national supérieur du professorat et de l'éducation,Toulon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_site_de_gilet_centre_de_draguignan_universite_de_nice_sophia_antipolis-6753
"IUFM site de La Seyne-sur-Mer, Université de Nice - Sophia Antipolis",Non trouvé,Institut national supérieur du professorat et de l'éducation,Toulon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_site_de_la_seyne_sur_mer_universite_de_nice_sophia_antipolis-6755
"IUFM site de Digne-les-Bains, Université Aix-Marseille I",Non trouvé,Institut national supérieur du professorat et de l'éducation,Digne-les-Bains,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_site_de_digne_les_bains_universite_aix_marseille_i-6756
"IUFM site de Château-Gombert, Université Aix-Marseille I",Non trouvé,Institut national supérieur du professorat et de l'éducation,Marseille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_site_de_chateau_gombert_universite_aix_marseille_i-6757
"IUFM siège académique, Université Aix-Marseille I",Non trouvé,Institut national supérieur du professorat et de l'éducation,Marseille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_siege_academique_universite_aix_marseille_i-6758
"IUFM - IUFM de Versailles (site Cergy), Université de Cergy-Pontoise",Non trouvé,Institut national supérieur du professorat et de l'éducation,Cergy,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_iufm_de_versailles_site_cergy_universite_de_cergy_pontoise-6759
"IUFM de Paris, Université Paris-Sorbonne Paris IV",Non trouvé,Institut national supérieur du professorat et de l'éducation,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_de_paris_universite_paris_sorbonne_paris_iv-6760
"IUFM site de Stephen Liégeard, centre de Nice, Université de Nice - Sophia Antipolis",Non trouvé,Institut national supérieur du professorat et de l'éducation,Nice,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_site_de_stephen_liegeard_centre_de_nice_universite_de_nice_sophia_antipolis-6761
"IUFM Site de Marseille-Canebière, Université Aix-Marseille I",Non trouvé,Institut national supérieur du professorat et de l'éducation,Marseille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_site_de_marseille_canebiere_universite_aix_marseille_i-6762
"IUFM site d'Avignon, Université Aix-Marseille I",Non trouvé,Institut national supérieur du professorat et de l'éducation,Avignon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_site_d_avignon_universite_aix_marseille_i-6763
"IUFM site d'Aix-en-Provence, Université Aix-Marseille I",Non trouvé,Institut national supérieur du professorat et de l'éducation,Aix-en-Provence,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iufm_site_d_aix_en_provence_universite_aix_marseille_i-6764
"Antenne IUFM Saint-Etienne, Université Claude Bernard - Lyon 1",Non trouvé,Institut national supérieur du professorat et de l'éducation,Saint-Étienne,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-antenne_iufm_saint_etienne_universite_claude_bernard_lyon_1-7172
"Antenne IUFM Lyon, Université Claude Bernard - Lyon 1",Non trouvé,Institut national supérieur du professorat et de l'éducation,Lyon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-antenne_iufm_lyon_universite_claude_bernard_lyon_1-7173
"Antenne IUFM de la Dordogne, Université Bordeaux IV",Non trouvé,Institut national supérieur du professorat et de l'éducation,Périgueux,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-antenne_iufm_de_la_dordogne_universite_bordeaux_iv-7178
"Antenne IUFM du Lot et Garonne, Université Bordeaux IV",Non trouvé,Institut national supérieur du professorat et de l'éducation,Agen,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-antenne_iufm_du_lot_et_garonne_universite_bordeaux_iv-7179
"Antenne IUFM de Bordeaux-Caudéran, Université Bordeaux IV",Non trouvé,Institut national supérieur du professorat et de l'éducation,Bordeaux,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-antenne_iufm_de_bordeaux_cauderan_universite_bordeaux_iv-7180
"Antenne IUFM des Landes, Université Bordeaux IV",Non trouvé,Institut national supérieur du professorat et de l'éducation,Mont-de-Marsan,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-antenne_iufm_des_landes_universite_bordeaux_iv-7181
"Antenne IUFM des Pyrénées Atlantiques, Université Bordeaux IV",Non trouvé,Institut national supérieur du professorat et de l'éducation,Pau,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-antenne_iufm_des_pyrenees_atlantiques_universite_bordeaux_iv-7187
