name,email,sector,city,phone,website,address,formations,description,url
"Centre universitaire de Troyes, Université de Reims Champagne-Ardenne",Non trouvé,Unité de formation et de recherche,Troyes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-centre_universitaire_de_troyes_universite_de_reims_champagne_ardenne-1
EJCM - Ecole de journalisme et de communication d'Aix-Marseille,Non trouvé,Unité de formation et de recherche,Marseille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-ejcm_ecole_de_journalisme_et_de_communication_d_aix_marseille-53
"LEM - Ecole de délégués médicaux Lille 2, Université de Lille 2",Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-lem_ecole_de_delegues_medicaux_lille_2_universite_de_lille_2-79
"DUSA - Département universitaire des sciences d'Agen, Université Bordeaux I",Non trouvé,Unité de formation et de recherche,Agen,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-dusa_departement_universitaire_des_sciences_d_agen_universite_bordeaux_i-159
Département STAPS (CUFR Jean-François Champollion),Non trouvé,Unité de formation et de recherche,Rodez,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_staps_cufr_jean_francois_champollion-160
"SATIS - Département sciences, Arts et Techniques de l'image et du son, Université Aix-Marseille I",Non trouvé,Unité de formation et de recherche,Aix-en-Provence,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-satis_departement_sciences_arts_et_techniques_de_l_image_et_du_son_universite_aix_marseille_i-161
"INALCO - Département Russie (INALCO), Institut national des langues et civilisations orientales",Non trouvé,Unité de formation et de recherche,Nanterre,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-inalco_departement_russie_inalco_institut_national_des_langues_et_civilisations_orientales-162
"Département licence, Université Bordeaux I",Non trouvé,Unité de formation et de recherche,Bordeaux,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_licence_universite_bordeaux_i-164
Département sciences humaines et sociales (CUFR Jean-François Champollion),Non trouvé,Unité de formation et de recherche,Albi,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_sciences_humaines_et_sociales_cufr_jean_francois_champollion-166
"INALCO - Département études arabes, Institut national des langues et civilisations orientales",Non trouvé,Unité de formation et de recherche,Nanterre,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-inalco_departement_etudes_arabes_institut_national_des_langues_et_civilisations_orientales-169
"Département LSO (licence sciences des organisations), Université Paris-Dauphine",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_lso_licence_sciences_des_organisations_universite_paris_dauphine-170
"Département mathématiques et informatique de la décision et des organisations (MIDO), Université Paris-Dauphine",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_mathematiques_et_informatique_de_la_decision_et_des_organisations_mido_universite_paris_dauphine-171
"INALCO - Département langues et civilisations hébraïques et juives, Institut national des langues et civilisations orientales",Non trouvé,Unité de formation et de recherche,Nanterre,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-inalco_departement_langues_et_civilisations_hebraiques_et_juives_institut_national_des_langues_et_civilisations_orientales-172
Département lettres langues et art (CUFR Jean-François Champollion),Non trouvé,Unité de formation et de recherche,Albi,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_lettres_langues_et_art_cufr_jean_francois_champollion-173
"Département MSO (master des sciences des organisations), Université Paris-Dauphine",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_mso_master_des_sciences_des_organisations_universite_paris_dauphine-174
"Département Génie Civil d'Egletons, Université de Limoges",Non trouvé,Unité de formation et de recherche,Tulle,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_genie_civil_d_egletons_universite_de_limoges-175
"INALCO - Département langue et civilisation du Japon, Institut national des langues et civilisations orientales",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-inalco_departement_langue_et_civilisation_du_japon_institut_national_des_langues_et_civilisations_orientales-178
"INALCO - Département Eurasie (INALCO), Institut national des langues et civilisations orientales",Non trouvé,Unité de formation et de recherche,Nanterre,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-inalco_departement_eurasie_inalco_institut_national_des_langues_et_civilisations_orientales-179
"DEFLE - Département d'études de français langue étrangère, Université Bordeaux III",Non trouvé,Unité de formation et de recherche,Bordeaux,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-defle_departement_d_etudes_de_francais_langue_etrangere_universite_bordeaux_iii-180
"INALCO - Département Europe centrale et orientale (INALCO), Institut national des langues et civilisations orientales",Non trouvé,Unité de formation et de recherche,Nanterre,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-inalco_departement_europe_centrale_et_orientale_inalco_institut_national_des_langues_et_civilisations_orientales-181
"Département d'études territoriales, Université de Strasbourg",Non trouvé,Unité de formation et de recherche,Strasbourg,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_d_etudes_territoriales_universite_de_strasbourg-183
"Département de sciences et arts, Université de Nîmes",Non trouvé,Unité de formation et de recherche,Nîmes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_de_sciences_et_arts_universite_de_nimes-184
"UFR arts, lettres, langues, sciences humaines - antenne de Lambesc, Université d'Aix-Marseille",Non trouvé,Unité de formation et de recherche,Lambesc,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-ufr_arts_lettres_langues_sciences_humaines_antenne_de_lambesc_universite_d_aix_marseille-185
"Dpt EEA - Département EEA (Electronique, Electrotechnique et Automatique) de l'UFR des sciences, Université Picardie Jules Verne Amiens",Non trouvé,Unité de formation et de recherche,Amiens,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-dpt_eea_departement_eea_electronique_electrotechnique_et_automatique_de_l_ufr_des_sciences_universite_picardie_jules_verne_amiens-186
"Département d'études arabes et hébraïques, Université Paris-Sorbonne Paris IV",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_d_etudes_arabes_et_hebraiques_universite_paris_sorbonne_paris_iv-187
"DENTES - Département environnement, technologies et société, Université Aix-Marseille I",Non trouvé,Unité de formation et de recherche,Marseille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-dentes_departement_environnement_technologies_et_societe_universite_aix_marseille_i-188
"Département de médiation culturelle, Université de la Sorbonne Nouvelle",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_de_mediation_culturelle_universite_de_la_sorbonne_nouvelle-189
"Département de l'enseignement du Français à l'International, Université Lille 3",Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_de_l_enseignement_du_francais_a_l_international_universite_lille_3-190
Département de droit et économie - Institut National Universitaire Jean-François Champollion,Non trouvé,Unité de formation et de recherche,Albi,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_de_droit_et_economie_institut_national_universitaire_jean_francois_champollion-191
"INALCO - Département Asie du sud, Institut national des langues et civilisations orientales",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-inalco_departement_asie_du_sud_institut_national_des_langues_et_civilisations_orientales-193
"INALCO - Département Asie du Sud Est Haute Asie Pacifique, Institut national des langues et civilisations orientales",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-inalco_departement_asie_du_sud_est_haute_asie_pacifique_institut_national_des_langues_et_civilisations_orientales-194
"Département arts - musique, Université d'Evry-Val-d'Essonne",Non trouvé,Unité de formation et de recherche,Évry,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_arts_musique_universite_d_evry_val_d_essonne-195
"Département de droit, économie et gestion, Université de Nîmes",Non trouvé,Unité de formation et de recherche,Nîmes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_de_droit_economie_et_gestion_universite_de_nimes-196
"INALCO - Département Chine, Institut national des langues et civilisations orientales",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-inalco_departement_chine_institut_national_des_langues_et_civilisations_orientales-198
"Département des langues, Université d'Evry-Val-d'Essonne",Non trouvé,Unité de formation et de recherche,Évry-Courcouronnes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_des_langues_universite_d_evry_val_d_essonne-199
"LEA UM3 - Département de langues étrangères appliquées, Université Montpellier III",Non trouvé,Unité de formation et de recherche,Montpellier,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-lea_um3_departement_de_langues_etrangeres_appliquees_universite_montpellier_iii-200
"DLVP - Département de langues vivantes pratiques, Université Bordeaux II",Non trouvé,Unité de formation et de recherche,Bordeaux,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-dlvp_departement_de_langues_vivantes_pratiques_universite_bordeaux_ii-201
Département de sciences (CUFR Jean-François Champollion),Non trouvé,Unité de formation et de recherche,Albi,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_de_sciences_cufr_jean_francois_champollion-202
"Département de psychologie, lettres, langues et histoire, Université de Nîmes",Non trouvé,Unité de formation et de recherche,Nîmes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-departement_de_psychologie_lettres_langues_et_histoire_universite_de_nimes-203
Domaine universitaire choletais de l'université d'Angers,Non trouvé,Unité de formation et de recherche,Angers,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-domaine_universitaire_choletais_de_l_universite_d_angers-205
"INALCO - Département Afrique, Institut national des langues et civilisations orientales",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-inalco_departement_afrique_institut_national_des_langues_et_civilisations_orientales-206
CPP Lorraine - Cycle préparatoire polytechique de l'INP de Lorraine,Non trouvé,Unité de formation et de recherche,Nancy,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-cpp_lorraine_cycle_preparatoire_polytechique_de_l_inp_de_lorraine-221
CNAM Entreprises - Conservatoire national des arts et métiers,Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-cnam_entreprises_conservatoire_national_des_arts_et_metiers-434
"CFMI - Centre de formation de musiciens intervenant à l'école de l'université de Poitiers, Université de Poitiers",Non trouvé,Unité de formation et de recherche,Poitiers,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-cfmi_centre_de_formation_de_musiciens_intervenant_a_l_ecole_de_l_universite_de_poitiers_universite_de_poitiers-479
"CEPE - IAE UFR - CEPE - Centre européen des produits de l'enfant IAE annexe de Poitiers, Université de Poitiers",Non trouvé,Unité de formation et de recherche,Angoulême,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-cepe_iae_ufr_cepe_centre_europeen_des_produits_de_l_enfant_iae_annexe_de_poitiers_universite_de_poitiers-975
"CUR - Centre universitaire roannais, Université Jean Monnet Saint-Etienne",Non trouvé,Unité de formation et de recherche,Saint-Étienne,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-cur_centre_universitaire_roannais_universite_jean_monnet_saint_etienne-976
"CUEEP - Centre université économie d'éducation permanente, Université Lille 1",Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-cueep_centre_universite_economie_d_education_permanente_universite_lille_1-978
"Centre universitaire Toulouse I, Université Toulouse I Capitole",Non trouvé,Unité de formation et de recherche,Montauban,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-centre_universitaire_toulouse_i_universite_toulouse_i_capitole-979
"ULCO - Centre universitaire du musée, Université du Littoral - Côte d'Opale",Non trouvé,Unité de formation et de recherche,Arras,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-ulco_centre_universitaire_du_musee_universite_du_littoral_cote_d_opale-981
"Centre universitaire départemental - antenne de l'université de Nantes, Université de Nantes",Non trouvé,Unité de formation et de recherche,La Roche-sur-Yon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-centre_universitaire_departemental_antenne_de_l_universite_de_nantes_universite_de_nantes-982
"ULCO - Centre universitaire Lamartine, Université du Littoral - Côte d'Opale",Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-ulco_centre_universitaire_lamartine_universite_du_littoral_cote_d_opale-984
"Centre universitaire UFR de physique chimie automatique, Université Toulouse III",Non trouvé,Unité de formation et de recherche,Tarbes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-centre_universitaire_ufr_de_physique_chimie_automatique_universite_toulouse_iii-985
Centre universitaire La forêt - Université de Valenciennes,Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-centre_universitaire_la_foret_universite_de_valenciennes-987
Centre universitaire La forêt - Université de Lille 2,Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-centre_universitaire_la_foret_universite_de_lille_2-988
"Faculté de Droit, d'Economie et de Gestion (Centre universitaire d'études juridiques de Bourges) - site de Bourges, Université d'Orléans",Non trouvé,Unité de formation et de recherche,Bourges,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-faculte_de_droit_d_economie_et_de_gestion_centre_universitaire_d_etudes_juridiques_de_bourges_site_de_bourges_universite_d_orleans-989
"IUP management du sport, Université de Nice - Sophia Antipolis",Non trouvé,Unité de formation et de recherche,Nice,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iup_management_du_sport_universite_de_nice_sophia_antipolis-990
"IUPIIA - IUP innovation en industries alimentaires, Université de Bretagne Occidentale",Non trouvé,Unité de formation et de recherche,Quimper,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iupiia_iup_innovation_en_industries_alimentaires_universite_de_bretagne_occidentale-991
"IUP IS - IUP ingénierie de la santé, Université Picardie Jules Verne Amiens",Non trouvé,Unité de formation et de recherche,Amiens,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iup_is_iup_ingenierie_de_la_sante_universite_picardie_jules_verne_amiens-992
