name,email,sector,city,phone,website,address,formations,description,url
"ESIEA, ingénieur·e·s d’un numérique utile - Laval",admissions@esiea.fr,École d'ingénieurs,Laval,0182392500,https://bit.ly/3Rw2Dsy?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-esiea_ingenieur_e_s_d_un_numerique_utile_laval-1848
Efrei - Ecole d'ingénieur - Informatique et technologies du numérique - Paris,admissions@efrei.fr,École d'ingénieurs,Paris,33188289001,Non trouvé,,,,https://diplomeo.com/etablissement-efrei_ecole_d_ingenieur_informatique_et_technologies_du_numerique_paris-2384
École d’Ingénieurs de PURPAN,communication@purpan.fr,École d'ingénieurs,Toulouse,33561153030,Non trouvé,,,,https://diplomeo.com/etablissement-ecole_d_ingenieurs_de_purpan-2390
IESEG School of Management Lille,ieseg@ieseg.fr,École de gestion et de commerce,Lille,33320545892,Non trouvé,,,,https://diplomeo.com/etablissement-ieseg_school_of_management_lille-2879
IESEG School of Management Paris,ieseg@ieseg.fr,École de gestion et de commerce,Paris,33320545892,https://www.ieseg.fr/?utm_source=PartDiplomeo20240314Ecole&utm_medium=FicheEcole&utm_campaign=RFrance?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-ieseg_school_of_management_paris-2885
Clermont School of Business,info@esc-clermont.fr,École de gestion et de commerce,Clermont-Ferrand,33473982424,https://www.clermont-sb.fr/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-clermont_school_of_business-2922
AFIP Formations,contact@afip-formations.com,École spécialisée,Villeurbanne,33478378181,Non trouvé,,,,https://diplomeo.com/etablissement-afip_formations-6774
L'École Multimédia,service.communication@ecole-multimedia.com,École de l'internet,Paris,33142785101,Non trouvé,,,,https://diplomeo.com/etablissement-l_ecole_multimedia-7273
MBS EDUCATION,admission@mbseducation.fr,Centre de formation d'apprentis,Paris,33140500202,Non trouvé,,,,https://diplomeo.com/etablissement-mbs_education-7281
Aurlom BTS +,aurlombtsplus@gmail.com,École de gestion et de commerce,Paris,33140411238,https://www.aurlom.com/bts.html?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-aurlom_bts-7345
H3 Campus Paris,contact@h3campus.fr,École de gestion et de commerce,Paris,33142800049,https://h3campus.fr/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-h3_campus_paris-7410
Antemed Epsilon,paris@supexam.fr,Classes préparatoires aux concours,Paris 6e,33148071717,https://www.antemed-epsiloon.fr?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-antemed_epsilon-7445
EPF - Paris Cachan,communication@epf.fr,École d'ingénieurs,Cachan,33141130151,https://www.epf.fr/?utm_source=diplomeo&utm_medium=page_ecole&utm_campaign=2425_Ref?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-epf_paris_cachan-7812
GARTI - École Supérieure de Graphisme,garti@ecolegarti.com,"Design, Graphisme, 3D, Vidéo, Mode",Paris,33175611000,Non trouvé,,,,https://diplomeo.com/etablissement-garti_ecole_superieure_de_graphisme-8109
Digital School of Paris,contact@digitalschool.paris,École de l'internet,Paris,33173433000,https://www.digitalschool.paris/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-digital_school_of_paris-9877
"Ynov 3D, Animation & Jeux Vidéo - Paris Ouest",contact-paris@ynov.com,"Design, Graphisme, 3D, Vidéo, Mode",Nanterre,0148070702,https://www.ynov.com/campus/paris/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-ynov_3d_animation_jeux_video_paris_ouest-10148
"ESIEA, ingénieur·e·s d’un numérique utile - Paris / Ivry-sur-Seine",admissions@esiea.fr,École d'ingénieurs,Ivry-sur-Seine,0182392500,https://bit.ly/3yZzJd5?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-esiea_ingenieur_e_s_d_un_numerique_utile_paris_ivry_sur_seine-10725
Digital College - Paris La Défense,contact@digital-college.fr,École de l'internet,Nanterre,33155230804,https://digital-college.fr?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-digital_college_paris_la_defense-11366
301,contact@301-digital.com,École de l'internet,Rennes,33299148088,https://www.301-digital.com/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-301-11775
IRIIG,contact@iriig.com,École de gestion et de commerce,Lyon 7e,0484350526,https://www.iriig.com/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-iriig-11829
DSTI School of Engineering - Paris,contact@dsti.institutes,École d'ingénierie informatique,Paris,33489412944,https://dsti.school?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-dsti_school_of_engineering_paris-11920
DSTI School of Engineering - Nice - Sophia-Antipolis,contact@dsti.institutes,École d'ingénierie informatique,Nice,33489412944,https://dsti.school?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-dsti_school_of_engineering_nice_sophia_antipolis-11922
European School of Cybersecurity,contact@esc-cybersecurity.com,École d'ingénierie informatique,Lyon,0469960065,https://www.esc-cybersecurity.com/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-european_school_of_cybersecurity-12253
Ynov Architecture  d’intérieur  -  Paris Ouest,contact-paris@ynov.com,École d'architecture,Nanterre,0148070702,https://www.ynov.com/metier/architecte-interieur-designer-espace/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-ynov_architecture_d_interieur_paris_ouest-12334
Ynov Tech & Business -  Paris Ouest,contact-paris@ynov.com,École de l'internet,Nanterre,0148070702,https://www.ynov.com/formation/ynov-web-management/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-ynov_tech_business_paris_ouest-12348
FMS - L’école de commerce du Food Business - Paris,admission@fms-school.com,École de gestion et de commerce,Paris,0184831470,https://food-management-school.com/?utm_source=Diplomeo&utm_medium=mini+site+FMS+sur+diplomeo&utm_campaign=Site+FMS+diplomeo&utm_content=bouton+site+fms?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-fms_l_ecole_de_commerce_du_food_business_paris-12359
DIFCAM Ile-de-France,idf@difcam.com,Centre de formation d'apprentis,Montrouge,33149534323,https://implantation.difcam.com/14-cfa-difcam-ile-de-france?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-difcam_ile_de_france-12429
IFFP - Institut Français de Formation Professionnelle,contact@iffp.pros,Centre de formation professionnelle,Nanterre,0180884455,https://iffp.pro/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-iffp_institut_francais_de_formation_professionnelle-12897
Purple Campus - Alès,ales@purple-campus.com,Centre de formation d'apprentis,Alès,33466912121,https://purple-campus.com?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-purple_campus_ales-13138
Purple Campus - Nîmes,marguerittes@purple-campus.com,Centre de formation d'apprentis,Marguerittes,33466879759,https://purple-campus.com?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-purple_campus_nimes-13139
Purple Campus - Carcassonne,carcassonne@purple-campus.com,Centre de formation d'apprentis,Carcassonne,0468713876,https://purple-campus.com?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-purple_campus_carcassonne-13140
Purple Campus - Narbonne,narbonne@purple-campus.com,Centre de formation d'apprentis,Narbonne,33468441802,https://purple-campus.com?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-purple_campus_narbonne-13141
SMBS - L'école de commerce de la santé - Paris,smbs@smbs-school.com,École de gestion et de commerce,Paris 13e,33184831471,https://sante-management-school.com/?utm_source=diplomeos,,,,https://diplomeo.com/etablissement-smbs_l_ecole_de_commerce_de_la_sante_paris-13181
