id,name,is_company,company_type,customer_rank,supplier_rank,type,email,phone,mobile,website,street,city,zip,country_id,function,title,parent_id,user_id,team_id,industry_id,comment,tag_ids,vat,ref,lang,date
school_garti_ecole_superieure_de_graphisme_garti_at_ecolegarti_com,GARTI - École Supérieure de Graphisme,true,company,1,0,contact,garti@ecolegarti.com,33175611000,,Non trouvé,,Paris,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-garti_ecole_superieure_de_graphisme-8109,fr_FR,2025-03-20
school_ynov_3d_animation_jeux_video_paris_ouest_contact-paris_at_ynov_com,"Ynov 3D, Animation & Jeux Vidéo - Paris Ouest",true,company,1,0,contact,contact-paris@ynov.com,0148070702,,https://www.ynov.com/campus/paris/?utm_source=diplomeos,,Nanterre,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-ynov_3d_animation_jeux_video_paris_ouest-10148,fr_FR,2025-03-20
school_creapole_esdi_admi_at_creapole_fr,CREAPOLE ESDI,true,company,1,0,contact,admi@creapole.fr,33144882020,,https://www.creapole.fr?utm_source=diplomeos,,Paris 1er,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-creapole_esdi-235,fr_FR,2025-03-20
school_mjm_graphic_design_nantes_nantes_at_mjm-design_com,MJM Graphic Design - Nantes,true,company,1,0,contact,nantes@mjm-design.com,33251840633,,Non trouvé,,Nantes,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-mjm_graphic_design_nantes-7883,fr_FR,2025-03-20
school_ecole_internationale_de_mode_paris_sc_at_eidm_fr,Ecole Internationale de Mode - Paris,true,company,1,0,contact,sc@eidm.fr,33145776802,,https://www.ecoledemode.fr/?utm_source=diplomeos,,Paris,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-ecole_internationale_de_mode_paris-9888,fr_FR,2025-03-20
school_modart_international_paris_admissions_at_modart-paris_com,MODART INTERNATIONAL - PARIS,true,company,1,0,contact,admissions@modart-paris.com,33158393672,,https://modart-paris.com/?utm_source=diplomeo&utm_medium=fiche-ecole&utm_campaign=campagne-2023-2024-campus-paris&utm_content=texte-home?utm_source=diplomeos,,Paris,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-modart_international_paris-11274,fr_FR,2025-03-20
school_mjm_graphic_design_lille_lille_at_mjm-design_com,MJM Graphic Design - Lille,true,company,1,0,contact,lille@mjm-design.com,0320334434,,https://mjm-design.com/?utm_source=Diplomeo_Fiche&utm_medium=Fiche_ecole_Lille?utm_source=diplomeos,,Lille,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-mjm_graphic_design_lille-11524,fr_FR,2025-03-20
school_efet_studiocrea_aix_en_provence_admissions-aix_at_studiocreaparis_com,EFET STUDIOCREA - AIX-EN-PROVENCE,true,company,1,0,contact,admissions-aix@studiocreaparis.com,33442646200,,Non trouvé,,Aix-en-Provence,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-efet_studiocrea_aix_en_provence-11697,fr_FR,2025-03-20
school_efet_studiocrea_grenoble_admissions-grenoble_at_studiocreaparis_com,EFET STUDIOCREA - GRENOBLE,true,company,1,0,contact,admissions-grenoble@studiocreaparis.com,0476469059,,Non trouvé,,Grenoble,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-efet_studiocrea_grenoble-11698,fr_FR,2025-03-20
school_efet_studio_crea_lille_c_navez_at_eductive_fr,EFET STUDIO CRÉA - LILLE,true,company,1,0,contact,c.navez@eductive.fr,33320400012,,Non trouvé,,Lille,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-efet_studio_crea_lille-11699,fr_FR,2025-03-20
school_efficom_design_school_lille_lille_at_efficom_fr,EFFICOM DESIGN SCHOOL - LILLE,true,company,1,0,contact,lille@efficom.fr,33320060289,,https://www.efficom.fr/design_school/?utm_source=diplomeos,,Lille,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-efficom_design_school_lille-11715,fr_FR,2025-03-20
school_modart_international_lyon_c_rebatet_at_sciences-u_fr,MODART INTERNATIONAL - LYON,true,company,1,0,contact,c.rebatet@sciences-u.fr,0426290110,,https://modart-paris.com/?utm_source=diplomeos,,Lyon,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-modart_international_lyon-11737,fr_FR,2025-03-20
school_1984_school_of_design_info_at_1984_schools,1984 School of design,true,company,1,0,contact,info@1984.schools,0142590582,,https://www.1984.school/?utm_source=diplomeos,,Paris,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-1984_school_of_design-11831,fr_FR,2025-03-20
school_efet_studiocrea_reims_campus-reims_at_eductive_fr,EFET STUDIOCREA - REIMS,true,company,1,0,contact,campus-reims@eductive.fr,33326866464,,Non trouvé,,Reims,,France,,,,,,"Design, Graphisme, 3D, Vidéo, Mode",,"École,Diplomeo",,https://diplomeo.com/etablissement-efet_studiocrea_reims-11916,fr_FR,2025-03-20
