id,name,is_company,company_type,customer_rank,supplier_rank,type,email,phone,mobile,website,street,city,zip,country_id,function,title,parent_id,user_id,team_id,industry_id,comment,tag_ids,vat,ref,lang,date
school_afip_formations_contact_at_afip-formations_com,AFIP Formations,true,company,1,0,contact,contact@afip-formations.com,33478378181,,Non trouvé,,Villeurbanne,,France,,,,,,École spécialisée,,"École,Diplomeo",,https://diplomeo.com/etablissement-afip_formations-6774,fr_FR,2025-03-20
school_ileri_l_institut_libre_des_relations_internationales_et_des_sciences_politiques_lyon_admissio,ILERI - L’Institut Libre des Relations Internationales et des Sciences Politiques  - Lyon,true,company,1,0,contact,admissions.lyon@ileri.fr,0472853831,,https://www.ileri.fr/campus/lyon-leclair?utm_source=Diplomeo&utm_medium=ANNUAIRE&utm_campaign=Annuaire_2024_2025&utm_content=ANNUAIRE_Diplomeo?utm_source=diplomeos,,Lyon,,France,,,,,,École spécialisée,,"École,Diplomeo",,https://diplomeo.com/etablissement-ileri_l_institut_libre_des_relations_internationales_et_des_sciences_politiques_lyon-1092,fr_FR,2025-03-20
school_ihedrea_l_ecole_de_l_agri_et_de_l_agro_management_paris_contact_at_paris_ihedrea_orrgs,IHEDREA - L'école de l'Agri et de l'Agro Management - Paris,true,company,1,0,contact,contact@paris.ihedrea.orrgs,33141066222,,https://www.ihedrea.org/?utm_source=diplomeo&utm_medium=annuaire&utm_campaign=IHEDREA_2022_2023&utm_content=ANNUAIRE_diplomeo?utm_source=diplomeos,,Courbevoie,,France,,,,,,École spécialisée,,"École,Diplomeo",,https://diplomeo.com/etablissement-ihedrea_l_ecole_de_l_agri_et_de_l_agro_management_paris-1181,fr_FR,2025-03-20
school_ican_institut_de_creation_et_d_animation_numeriques_paris_admissions_at_ican-design_fr,ICAN - Institut de création et d'animation numériques - PARIS,true,company,1,0,contact,admissions@ican-design.fr,33186220869,,https://www.ican-design.fr/?utm_source=diplomeos,,Paris,,France,,,,,,École spécialisée,,"École,Diplomeo",,https://diplomeo.com/etablissement-ican_institut_de_creation_et_d_animation_numeriques_paris-2727,fr_FR,2025-03-20
school_isfj_institut_superieur_de_formation_au_journalisme_et_a_la_communication_digitale_paris_cont,ISFJ - INSTITUT SUPERIEUR DE FORMATION AU JOURNALISME ET A LA COMMUNICATION DIGITALE - PARIS,true,company,1,0,contact,contact@isfj-international.com,33178966832,,https://www.isfj.fr/?utm_source=diplomeo&utm_medium=fiche-ecole&utm_campaign=campagne-2023-2024-campus-paris&utm_content=texte-home?utm_source=diplomeos,,Paris 15e,,France,,,,,,École spécialisée,,"École,Diplomeo",,https://diplomeo.com/etablissement-isfj_institut_superieur_de_formation_au_journalisme_et_a_la_communication_digitale_paris-4312,fr_FR,2025-03-20
school_eiml_ecole_internationale_de_marketing_du_luxe_paris_admissions_at_eimlp_fr,EIML - ECOLE INTERNATIONALE DE MARKETING DU LUXE - PARIS,true,company,1,0,contact,admissions@eimlp.fr,33153952890,,https://www.eiml-paris.fr/?utm_source=diplomeo&utm_medium=fiche-ecole&utm_campaign=campagne-2023-2024-campus-paris&utm_content=texte-home?utm_source=diplomeos,,Paris 15e,,France,,,,,,École spécialisée,,"École,Diplomeo",,https://diplomeo.com/etablissement-eiml_ecole_internationale_de_marketing_du_luxe_paris-7256,fr_FR,2025-03-20
school_sup_de_luxe_admissions_at_supdeluxe_fr,Sup de Luxe,true,company,1,0,contact,admissions@supdeluxe.fr,33764775051,,Non trouvé,,Paris,,France,,,,,,École spécialisée,,"École,Diplomeo",,https://diplomeo.com/etablissement-sup_de_luxe-7663,fr_FR,2025-03-20
school_isifa_plus_values_sud_parissud_at_isifaplusvalues_com,ISIFA Plus Values - Sud,true,company,1,0,contact,parissud@isifaplusvalues.com,33140951300,,Non trouvé,,Issy-les-Moulineaux,,France,,,,,,École spécialisée,,"École,Diplomeo",,https://diplomeo.com/etablissement-isifa_plus_values_sud-7700,fr_FR,2025-03-20
school_isifa_plus_values_ouest_parisouest_at_isifaplusvalues_com,ISIFA Plus Values - Ouest,true,company,1,0,contact,parisouest@isifaplusvalues.com,33179363509,,https://www.isifaplusvalues.com/?utm_source=diplomeos,,Paris,,France,,,,,,École spécialisée,,"École,Diplomeo",,https://diplomeo.com/etablissement-isifa_plus_values_ouest-7701,fr_FR,2025-03-20
school_maestris_bts_aix_en_provence_aix-en-pce_at_maestris_com,MAESTRIS BTS - AIX-EN-PROVENCE,true,company,1,0,contact,aix-en-pce@maestris.com,0442646200,,https://www.maestris-bts.com/campus/aix-en-provence/?utm_source=diplomeos,,Vitrolles,,France,,,,,,École spécialisée,,"École,Diplomeo",,https://diplomeo.com/etablissement-maestris_bts_aix_en_provence-11704,fr_FR,2025-03-20
