id,name,is_company,company_type,customer_rank,supplier_rank,type,email,phone,mobile,website,street,city,zip,country_id,function,title,parent_id,user_id,team_id,industry_id,comment,tag_ids,vat,ref,lang,date
school_esiea_ingenieur_e_s_d_un_numerique_utile_laval_admissions_at_esiea_fr,"ESIEA, ingénieur·e·s d’un numérique utile - Laval",true,company,1,0,contact,admissions@esiea.fr,0182392500,,https://bit.ly/3Rw2Dsy?utm_source=diplomeos,,Laval,,France,,,,,,École d'ingénieurs,,"École,Diplomeo",,https://diplomeo.com/etablissement-esiea_ingenieur_e_s_d_un_numerique_utile_laval-1848,fr_FR,2025-03-20
school_efrei_ecole_d_ingenieur_informatique_et_technologies_du_numerique_paris_admissions_at_efrei_f,Efrei - Ecole d'ingénieur - Informatique et technologies du numérique - Paris,true,company,1,0,contact,admissions@efrei.fr,33188289001,,Non trouvé,,Paris,,France,,,,,,École d'ingénieurs,,"École,Diplomeo",,https://diplomeo.com/etablissement-efrei_ecole_d_ingenieur_informatique_et_technologies_du_numerique_paris-2384,fr_FR,2025-03-20
school_ecole_d_ingenieurs_de_purpan_communication_at_purpan_fr,École d’Ingénieurs de PURPAN,true,company,1,0,contact,communication@purpan.fr,33561153030,,Non trouvé,,Toulouse,,France,,,,,,École d'ingénieurs,,"École,Diplomeo",,https://diplomeo.com/etablissement-ecole_d_ingenieurs_de_purpan-2390,fr_FR,2025-03-20
school_ieseg_school_of_management_lille_ieseg_at_ieseg_fr,IESEG School of Management Lille,true,company,1,0,contact,ieseg@ieseg.fr,33320545892,,Non trouvé,,Lille,,France,,,,,,École de gestion et de commerce,,"École,Diplomeo",,https://diplomeo.com/etablissement-ieseg_school_of_management_lille-2879,fr_FR,2025-03-20
school_ieseg_school_of_management_paris_ieseg_at_ieseg_fr,IESEG School of Management Paris,true,company,1,0,contact,ieseg@ieseg.fr,33320545892,,https://www.ieseg.fr/?utm_source=PartDiplomeo20240314Ecole&utm_medium=FicheEcole&utm_campaign=RFrance?utm_source=diplomeos,,Paris,,France,,,,,,École de gestion et de commerce,,"École,Diplomeo",,https://diplomeo.com/etablissement-ieseg_school_of_management_paris-2885,fr_FR,2025-03-20
school_clermont_school_of_business_info_at_esc-clermont_fr,Clermont School of Business,true,company,1,0,contact,info@esc-clermont.fr,33473982424,,https://www.clermont-sb.fr/?utm_source=diplomeos,,Clermont-Ferrand,,France,,,,,,École de gestion et de commerce,,"École,Diplomeo",,https://diplomeo.com/etablissement-clermont_school_of_business-2922,fr_FR,2025-03-20
school_afip_formations_contact_at_afip-formations_com,AFIP Formations,true,company,1,0,contact,contact@afip-formations.com,33478378181,,Non trouvé,,Villeurbanne,,France,,,,,,École spécialisée,,"École,Diplomeo",,https://diplomeo.com/etablissement-afip_formations-6774,fr_FR,2025-03-20
school_l_ecole_multimedia_service_communication_at_ecole-multimedia_com,L'École Multimédia,true,company,1,0,contact,service.communication@ecole-multimedia.com,33142785101,,Non trouvé,,Paris,,France,,,,,,École de l'internet,,"École,Diplomeo",,https://diplomeo.com/etablissement-l_ecole_multimedia-7273,fr_FR,2025-03-20
school_mbs_education_admission_at_mbseducation_fr,MBS EDUCATION,true,company,1,0,contact,admission@mbseducation.fr,33140500202,,Non trouvé,,Paris,,France,,,,,,Centre de formation d'apprentis,,"École,Diplomeo",,https://diplomeo.com/etablissement-mbs_education-7281,fr_FR,2025-03-20
school_aurlom_bts_aurlombtsplus_at_gmail_com,Aurlom BTS +,true,company,1,0,contact,aurlombtsplus@gmail.com,33140411238,,https://www.aurlom.com/bts.html?utm_source=diplomeos,,Paris,,France,,,,,,École de gestion et de commerce,,"École,Diplomeo",,https://diplomeo.com/etablissement-aurlom_bts-7345,fr_FR,2025-03-20
