External ID,Name,Street,Street2,City,State,Zip,Country,Phone,Mobile,Email,Website,Tags,Is a Company,Industry,Function
school_esiea-ingenieures-dun-numerique-utile-la_1,"ESIEA, ingénieur·e·s d’un numérique utile - Laval",,,Laval,,,France,0182392500,,admissions@esiea.fr,https://bit.ly/3Rw2Dsy?utm_source=diplomeos,École d'ingénieurs,True,Education,
school_efrei-ecole-dingenieur-informatique-et-t_2,Efrei - Ecole d'ingénieur - Informatique et technologies du numérique - Paris,,,Paris,,,France,33188289001,,admissions@efrei.fr,,École d'ingénieurs,True,Education,
school_ecole-dingenieurs-de-purpan_3,École d’Ingénieurs de PURPAN,,,Toulouse,,,France,33561153030,,communication@purpan.fr,,École d'ingénieurs,True,Education,
school_ieseg-school-of-management-lille_4,IESEG School of Management Lille,,,Lille,,,France,33320545892,,ieseg@ieseg.fr,,École de gestion et de commerce,True,Education,
school_ieseg-school-of-management-paris_5,IESEG School of Management Paris,,,Paris,,,France,33320545892,,ieseg@ieseg.fr,https://www.ieseg.fr/?utm_source=PartDiplomeo20240314Ecole&utm_medium=FicheEcole&utm_campaign=RFrance?utm_source=diplomeos,École de gestion et de commerce,True,Education,
school_clermont-school-of-business_6,Clermont School of Business,,,Clermont-Ferrand,,,France,33473982424,,info@esc-clermont.fr,https://www.clermont-sb.fr/?utm_source=diplomeos,École de gestion et de commerce,True,Education,
school_afip-formations_7,AFIP Formations,,,Villeurbanne,,,France,33478378181,,contact@afip-formations.com,,École spécialisée,True,Education,
school_lecole-multimedia_8,L'École Multimédia,,,Paris,,,France,33142785101,,service.communication@ecole-multimedia.com,,École de l'internet,True,Education,
school_mbs-education_9,MBS EDUCATION,,,Paris,,,France,33140500202,,admission@mbseducation.fr,,Centre de formation d'apprentis,True,Education,
school_aurlom-bts-_10,Aurlom BTS +,,,Paris,,,France,33140411238,,aurlombtsplus@gmail.com,https://www.aurlom.com/bts.html?utm_source=diplomeos,École de gestion et de commerce,True,Education,
school_h3-campus-paris_11,H3 Campus Paris,,,Paris,,,France,33142800049,,contact@h3campus.fr,https://h3campus.fr/?utm_source=diplomeos,École de gestion et de commerce,True,Education,
