Nom,Ville,Email,Téléphone,Site Web,Adresse,Formations
"IUFM, Université de Caen Basse-Normandie",Caen,Non trouvé,Non trouvé,Non trouvé,,
"IUFM site de George V, centre de Nice, Université de Nice - Sophia Antipolis",Nice,Non trouvé,Non trouvé,Non trouvé,,
"IUFM site de Gilet, centre de Draguignan, Université de Nice - Sophia Antipolis",Toulon,Non trouvé,Non trouvé,Non trouvé,,
"IUFM site de La Seyne-sur-Mer, Université de Nice - Sophia Antipolis",Toulon,Non trouvé,Non trouvé,Non trouvé,,
"IUFM site de Digne-les-Bains, Université Aix-Marseille I",Digne-les-Bains,Non trouvé,Non trouvé,Non trouvé,,
"IUFM site de Château-Gombert, Université Aix-Marseille I",Marseille,Non trouvé,Non trouvé,Non trouvé,,
"IUFM siège académique, Université Aix-Marseille I",Marseille,Non trouvé,Non trouvé,Non trouvé,,
"IUFM - IUFM de Versailles (site Cergy), Université de Cergy-Pontoise",Cergy,Non trouvé,Non trouvé,Non trouvé,,
"IUFM de Paris, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"IUFM site de Stephen Liégeard, centre de Nice, Université de Nice - Sophia Antipolis",Nice,Non trouvé,Non trouvé,Non trouvé,,
"IUFM Site de Marseille-Canebière, Université Aix-Marseille I",Marseille,Non trouvé,Non trouvé,Non trouvé,,
"IUFM site d'Avignon, Université Aix-Marseille I",Avignon,Non trouvé,Non trouvé,Non trouvé,,
"IUFM site d'Aix-en-Provence, Université Aix-Marseille I",Aix-en-Provence,Non trouvé,Non trouvé,Non trouvé,,
"Antenne IUFM Saint-Etienne, Université Claude Bernard - Lyon 1",Saint-Étienne,Non trouvé,Non trouvé,Non trouvé,,
"Antenne IUFM Lyon, Université Claude Bernard - Lyon 1",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Antenne IUFM de la Dordogne, Université Bordeaux IV",Périgueux,Non trouvé,Non trouvé,Non trouvé,,
"Antenne IUFM du Lot et Garonne, Université Bordeaux IV",Agen,Non trouvé,Non trouvé,Non trouvé,,
"Antenne IUFM de Bordeaux-Caudéran, Université Bordeaux IV",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"Antenne IUFM des Landes, Université Bordeaux IV",Mont-de-Marsan,Non trouvé,Non trouvé,Non trouvé,,
"Antenne IUFM des Pyrénées Atlantiques, Université Bordeaux IV",Pau,Non trouvé,Non trouvé,Non trouvé,,
