Nom,Ville,Email,Téléphone,Site Web,Adresse,Formations
"Centre universitaire de Troyes, Université de Reims Champagne-Ardenne",Troyes,Non trouvé,Non trouvé,Non trouvé,,
EJCM - Ecole de journalisme et de communication d'Aix-Marseille,Marseille,Non trouvé,Non trouvé,Non trouvé,,
"LEM - Ecole de délégués médicaux Lille 2, Université de Lille 2",Lille,Non trouvé,Non trouvé,Non trouvé,,
"DUSA - Département universitaire des sciences d'Agen, Université Bordeaux I",Agen,Non trouvé,Non trouvé,Non trouvé,,
Département STAPS (CUFR Jean-François Champollion),Rodez,Non trouvé,Non trouvé,Non trouvé,,
"SATIS - Département sciences, Arts et Techniques de l'image et du son, Université Aix-Marseille I",Aix-en-Provence,Non trouvé,Non trouvé,Non trouvé,,
"INALCO - Département Russie (INALCO), Institut national des langues et civilisations orientales",Nanterre,Non trouvé,Non trouvé,Non trouvé,,
"Département licence, Université Bordeaux I",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
Département sciences humaines et sociales (CUFR Jean-François Champollion),Albi,Non trouvé,Non trouvé,Non trouvé,,
"INALCO - Département études arabes, Institut national des langues et civilisations orientales",Nanterre,Non trouvé,Non trouvé,Non trouvé,,
"Département LSO (licence sciences des organisations), Université Paris-Dauphine",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Département mathématiques et informatique de la décision et des organisations (MIDO), Université Paris-Dauphine",Paris,Non trouvé,Non trouvé,Non trouvé,,
"INALCO - Département langues et civilisations hébraïques et juives, Institut national des langues et civilisations orientales",Nanterre,Non trouvé,Non trouvé,Non trouvé,,
Département lettres langues et art (CUFR Jean-François Champollion),Albi,Non trouvé,Non trouvé,Non trouvé,,
"Département MSO (master des sciences des organisations), Université Paris-Dauphine",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Département Génie Civil d'Egletons, Université de Limoges",Tulle,Non trouvé,Non trouvé,Non trouvé,,
"INALCO - Département langue et civilisation du Japon, Institut national des langues et civilisations orientales",Paris,Non trouvé,Non trouvé,Non trouvé,,
"INALCO - Département Eurasie (INALCO), Institut national des langues et civilisations orientales",Nanterre,Non trouvé,Non trouvé,Non trouvé,,
"DEFLE - Département d'études de français langue étrangère, Université Bordeaux III",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"INALCO - Département Europe centrale et orientale (INALCO), Institut national des langues et civilisations orientales",Nanterre,Non trouvé,Non trouvé,Non trouvé,,
"Département d'études territoriales, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"Département de sciences et arts, Université de Nîmes",Nîmes,Non trouvé,Non trouvé,Non trouvé,,
"UFR arts, lettres, langues, sciences humaines - antenne de Lambesc, Université d'Aix-Marseille",Lambesc,Non trouvé,Non trouvé,Non trouvé,,
"Dpt EEA - Département EEA (Electronique, Electrotechnique et Automatique) de l'UFR des sciences, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"Département d'études arabes et hébraïques, Université Paris-Sorbonne Paris IV",Paris,Non trouvé,Non trouvé,Non trouvé,,
"DENTES - Département environnement, technologies et société, Université Aix-Marseille I",Marseille,Non trouvé,Non trouvé,Non trouvé,,
"Département de médiation culturelle, Université de la Sorbonne Nouvelle",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Département de l'enseignement du Français à l'International, Université Lille 3",Lille,Non trouvé,Non trouvé,Non trouvé,,
Département de droit et économie - Institut National Universitaire Jean-François Champollion,Albi,Non trouvé,Non trouvé,Non trouvé,,
"INALCO - Département Asie du sud, Institut national des langues et civilisations orientales",Paris,Non trouvé,Non trouvé,Non trouvé,,
"INALCO - Département Asie du Sud Est Haute Asie Pacifique, Institut national des langues et civilisations orientales",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Département arts - musique, Université d'Evry-Val-d'Essonne",Évry,Non trouvé,Non trouvé,Non trouvé,,
"Département de droit, économie et gestion, Université de Nîmes",Nîmes,Non trouvé,Non trouvé,Non trouvé,,
"INALCO - Département Chine, Institut national des langues et civilisations orientales",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Département des langues, Université d'Evry-Val-d'Essonne",Évry-Courcouronnes,Non trouvé,Non trouvé,Non trouvé,,
"LEA UM3 - Département de langues étrangères appliquées, Université Montpellier III",Montpellier,Non trouvé,Non trouvé,Non trouvé,,
"DLVP - Département de langues vivantes pratiques, Université Bordeaux II",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
Département de sciences (CUFR Jean-François Champollion),Albi,Non trouvé,Non trouvé,Non trouvé,,
"Département de psychologie, lettres, langues et histoire, Université de Nîmes",Nîmes,Non trouvé,Non trouvé,Non trouvé,,
Domaine universitaire choletais de l'université d'Angers,Angers,Non trouvé,Non trouvé,Non trouvé,,
"INALCO - Département Afrique, Institut national des langues et civilisations orientales",Paris,Non trouvé,Non trouvé,Non trouvé,,
CPP Lorraine - Cycle préparatoire polytechique de l'INP de Lorraine,Nancy,Non trouvé,Non trouvé,Non trouvé,,
CNAM Entreprises - Conservatoire national des arts et métiers,Paris,Non trouvé,Non trouvé,Non trouvé,,
"CFMI - Centre de formation de musiciens intervenant à l'école de l'université de Poitiers, Université de Poitiers",Poitiers,Non trouvé,Non trouvé,Non trouvé,,
"CEPE - IAE UFR - CEPE - Centre européen des produits de l'enfant IAE annexe de Poitiers, Université de Poitiers",Angoulême,Non trouvé,Non trouvé,Non trouvé,,
"CUR - Centre universitaire roannais, Université Jean Monnet Saint-Etienne",Saint-Étienne,Non trouvé,Non trouvé,Non trouvé,,
"CUEEP - Centre université économie d'éducation permanente, Université Lille 1",Lille,Non trouvé,Non trouvé,Non trouvé,,
"Centre universitaire Toulouse I, Université Toulouse I Capitole",Montauban,Non trouvé,Non trouvé,Non trouvé,,
"ULCO - Centre universitaire du musée, Université du Littoral - Côte d'Opale",Arras,Non trouvé,Non trouvé,Non trouvé,,
"Centre universitaire départemental - antenne de l'université de Nantes, Université de Nantes",La Roche-sur-Yon,Non trouvé,Non trouvé,Non trouvé,,
"ULCO - Centre universitaire Lamartine, Université du Littoral - Côte d'Opale",Lille,Non trouvé,Non trouvé,Non trouvé,,
"Centre universitaire UFR de physique chimie automatique, Université Toulouse III",Tarbes,Non trouvé,Non trouvé,Non trouvé,,
Centre universitaire La forêt - Université de Valenciennes,Lille,Non trouvé,Non trouvé,Non trouvé,,
Centre universitaire La forêt - Université de Lille 2,Lille,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de Droit, d'Economie et de Gestion (Centre universitaire d'études juridiques de Bourges) - site de Bourges, Université d'Orléans",Bourges,Non trouvé,Non trouvé,Non trouvé,,
"IUP management du sport, Université de Nice - Sophia Antipolis",Nice,Non trouvé,Non trouvé,Non trouvé,,
"IUPIIA - IUP innovation en industries alimentaires, Université de Bretagne Occidentale",Quimper,Non trouvé,Non trouvé,Non trouvé,,
"IUP IS - IUP ingénierie de la santé, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"IUP banque et assurance, Université de Caen Basse-Normandie",Caen,Non trouvé,Non trouvé,Non trouvé,,
"IUP Droit de l'urbanisme et de l'immobilier, Université de Perpignan Via Domitia",Carcassonne,Non trouvé,Non trouvé,Non trouvé,,
"UFR Sciences de l'Homme et de la Société, Université de Rouen",Mont-Saint-Aignan,Non trouvé,Non trouvé,Non trouvé,,
"IECA - Institut européen de cinéma et d'audiovisuel, Nancy-Université - Nancy 2",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"Institut du thermalisme, Université Bordeaux II",Mont-de-Marsan,Non trouvé,Non trouvé,Non trouvé,,
"IUG - Institut d'urbanisme de Grenoble, Université Pierre Mendès France - Grenoble 2",Grenoble,Non trouvé,Non trouvé,Non trouvé,,
"IUL - Institut d'urbanisme de Lyon, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"IMMD - Institut du marketing et du management de la distribution, Université de Lille 2",Lille,Non trouvé,Non trouvé,Non trouvé,,
"Institut du droit de la paix et du développement, Université de Nice - Sophia Antipolis",Nice,Non trouvé,Non trouvé,Non trouvé,,
