External ID,Name,Company Name,Email,Country,Mailing List,Phone,Website,City
commerce_school_1,IESEG School of Management Lille,IESEG School of Management Lille,ieseg@ieseg.fr,FR,Commerce,33320545892,Non trouvé,Lille
commerce_school_2,IESEG School of Management Paris,IESEG School of Management Paris,ieseg@ieseg.fr,FR,Commerce,33320545892,https://www.ieseg.fr/?utm_source=PartDiplomeo20240314Ecole&utm_medium=FicheEcole&utm_campaign=RFrance?utm_source=diplomeos,Paris
commerce_school_3,Clermont School of Business,Clermont School of Business,info@esc-clermont.fr,FR,Commerce,33473982424,https://www.clermont-sb.fr/?utm_source=diplomeos,Clermont-Ferrand
commerce_school_4,Aurlom BTS +,Aurlom BTS +,aurlombtsplus@gmail.com,FR,Commerce,33140411238,https://www.aurlom.com/bts.html?utm_source=diplomeos,Paris
commerce_school_5,H3 Campus Paris,H3 Campus Paris,contact@h3campus.fr,FR,Commerce,33142800049,https://h3campus.fr/?utm_source=diplomeos,Paris
commerce_school_6,IRIIG,IRIIG,contact@iriig.com,FR,Commerce,33484350526,https://www.iriig.com/?utm_source=diplomeos,Lyon 7e
commerce_school_7,FMS - L’école de commerce du Food Business - Paris,FMS - L’école de commerce du Food Business - Paris,admission@fms-school.com,FR,Commerce,33184831470,https://food-management-school.com/?utm_source=Diplomeo&utm_medium=mini+site+FMS+sur+diplomeo&utm_campaign=Site+FMS+diplomeo&utm_content=bouton+site+fms?utm_source=diplomeos,Paris
commerce_school_8,SMBS - L'école de commerce de la santé - Paris,SMBS - L'école de commerce de la santé - Paris,smbs@smbs-school.com,FR,Commerce,33184831471,https://sante-management-school.com/?utm_source=diplomeos,Paris 13e
commerce_school_9,Ecole de Management de Normandie - Paris,Ecole de Management de Normandie - Paris,admissions@em-normandie.fr,FR,Commerce,33175000076,https://www.em-normandie.com/?utm_source=site_referencement&utm_medium=site_lien&utm_campaign=diplomeo?utm_source=diplomeos,Paris
commerce_school_10,Ecole de Management de Normandie - Caen,Ecole de Management de Normandie - Caen,admissions@em-normandie.fr,FR,Commerce,330231467878,https://www.em-normandie.com/?utm_source=site_referencement&utm_medium=site_lien&utm_campaign=diplomeo?utm_source=diplomeos,Caen
commerce_school_11,IFAG - Institut de formation aux affaires et à la gestion - Auxerre,IFAG - Institut de formation aux affaires et à la gestion - Auxerre,recrutement.es@pole-formation.net,FR,Commerce,33608777568,https://www.ifag.com/campus/auxerre?utm_source=diplomeos,Auxerre
commerce_school_12,ESPAS,ESPAS,espas@univ-catholille.fr,FR,Commerce,33320549090,https://ecole-espas.fr/?utm_source=partenaires&utm_medium=résultatsderecherchenaturels&utm_campaign=diplomeo?utm_source=diplomeos,Lille
commerce_school_13,ESICAD - Ecole supérieure privée de commerce et gestion - Montpellier,ESICAD - Ecole supérieure privée de commerce et gestion - Montpellier,montpellier@esicad.com,FR,Commerce,33467105756,https://www.esicad.com/?utm_source=diplomeos,Montpellier
commerce_school_14,TALIS Paris,TALIS Paris,paris@talis-bs.com,FR,Commerce,33140388786,https://www.talis.community/?utm_source=diplomeos,Paris 11e
commerce_school_15,ESARC Toulouse,ESARC Toulouse,toulouse@esarc-evolution-toulouse.fr,FR,Commerce,33561399798,Non trouvé,Toulouse
commerce_school_16,IFAG - Institut de formation aux affaires et à la gestion - Rennes,IFAG - Institut de formation aux affaires et à la gestion - Rennes,rennes@ifag.com,FR,Commerce,33299869433,Non trouvé,Rennes
commerce_school_17,AFOREM Rennes,AFOREM Rennes,formation@aforem.fr,FR,Commerce,33299354600,https://www.aforem.fr/ecole/campus-rennes/?utm_source=diplomeos,Rennes
commerce_school_18,Ecole supérieure européenne de management en alternance - Lyon,Ecole supérieure européenne de management en alternance - Lyon,lyon@ecema.fr,FR,Commerce,33472738229,https://info.ecema.fr/rentree-lyon-diplomeo-site/?utm_source=diplomeos,Lyon
commerce_school_19,Ecole Supérieure Informatique et de Commerce - Paris,Ecole Supérieure Informatique et de Commerce - Paris,contact@esic.fr,FR,Commerce,33153901520,Non trouvé,Malakoff
commerce_school_20,ESGF - Ecole  Supérieure de Gestion et Finance Paris,ESGF - Ecole  Supérieure de Gestion et Finance Paris,admissions@esgf.fr,FR,Commerce,33186472994,Non trouvé,Courbevoie
commerce_school_21,ESGCI,ESGCI,admissions@esgci.com,FR,Commerce,33186472993,https://www.esgci.com?utm_source=diplomeos,Paris
commerce_school_22,ESVE,ESVE,contact@esve-paris.com,FR,Commerce,33188325384,https://esve-paris.com/?utm_source=diplomeos,Paris
commerce_school_23,TALIS Bayonne,TALIS Bayonne,bayonne@talis-bs.com,FR,Commerce,33564100913,https://www.talis.community/?utm_source=diplomeo&utm_campaign=2025&utm_medium=ficheecole?utm_source=diplomeos,Bayonne
commerce_school_24,Ecole Pigier - Paris,Ecole Pigier - Paris,parisperformance@pigier.com,FR,Commerce,33155070755,https://www.pigier.com/ecole-commerce-paris?utm_source=diplomeos,Paris
commerce_school_25,Ecole Pigier - Saint Quentin en Yvelines,Ecole Pigier - Saint Quentin en Yvelines,stquentin@pigier.com,FR,Commerce,33134527070,https://www.pigier.com/ecole-commerce-saint-quentin-en-yvelines?utm_source=diplomeos,Montigny-Le-Bretonneux
commerce_school_26,Ecole Pigier - Nancy,Ecole Pigier - Nancy,nancy@pigier.com,FR,Commerce,33383359797,https://www.pigier.com/ecole-commerce-nancy?utm_source=diplomeos,Nancy
commerce_school_27,ENC Nantes,ENC Nantes,admission-enc@enc-nantes.fr,FR,Commerce,33240489871,https://www.enc-nantes.fr/?utm_source=diplomeos,Nantes
commerce_school_28,EDC Paris Business School,EDC Paris Business School,informations@edcparis.edu,FR,Commerce,33146930270,https://www.edcparis.edu?utm_source=diplomeos,Puteaux
commerce_school_29,IFAG - Institut de formation aux affaires et à la gestion - Toulouse,IFAG - Institut de formation aux affaires et à la gestion - Toulouse,patty.meunier@ifag.fr,FR,Commerce,33607033267,Non trouvé,Balma
commerce_school_30,IFAG - Institut de formation aux affaires et à la gestion - Paris,IFAG - Institut de formation aux affaires et à la gestion - Paris,paris@ifag.com,FR,Commerce,33146592076,Non trouvé,Courbevoie
commerce_school_31,IFAG - Institut de formation aux affaires et à la gestion - Angers,IFAG - Institut de formation aux affaires et à la gestion - Angers,marion.lefeuvre@ifag.fr,FR,Commerce,33241391359,Non trouvé,Trélazé
commerce_school_32,H3 Campus Cergy Pontoise,H3 Campus Cergy Pontoise,contact@h3campus.fr,FR,Commerce,33134485555,https://www.h3campus.fr/?utm_source=diplomeos,Saint-Ouen-L'Aumône
commerce_school_33,iaelyon School of Management,iaelyon School of Management,margaux.francois@univ-lyon3.fr,FR,Commerce,33478787066,Non trouvé,Lyon 8e
commerce_school_34,IFAG - Institut de formation aux affaires et à la gestion - Lyon,IFAG - Institut de formation aux affaires et à la gestion - Lyon,lyon@ifag.com,FR,Commerce,33472857285,Non trouvé,Lyon
commerce_school_35,ICL - L'école des Business Developers - Campus de Lyon,ICL - L'école des Business Developers - Campus de Lyon,info@icl.fr,FR,Commerce,33472857374,Non trouvé,Lyon 9e
commerce_school_36,MBS,MBS,concours.pge@Montpellier-BS.com,FR,Commerce,33467102500,Non trouvé,Montpellier
commerce_school_37,FORMASUP Campus,FORMASUP Campus,admissions@formasup-campus.fr,FR,Commerce,33556340173,https://www.formasup-campus.com/?utm_source=diplomeos,Bordeaux
commerce_school_38,IPAG Business School - Campus de Paris,IPAG Business School - Campus de Paris,c.pivaut@ipag.fr,FR,Commerce,33140796440,https://www.ipag.edu/?utm_source=diplomeos,Paris 15e
commerce_school_39,ESTICE - International Management,ESTICE - International Management,estice@univ-catholille.fr,FR,Commerce,33320549090,https://estice.fr/utm_source=partenaires&utm_medium=résultatsderecherchenaturels&utm_campaign=diplomeo?utm_source=diplomeos,Lille
commerce_school_40,ISTEF - Institut supérieur technique d'enseignement et de formation,ISTEF - Institut supérieur technique d'enseignement et de formation,istef@istef.fr,FR,Commerce,33534415390,Non trouvé,Toulouse
commerce_school_41,PPA BUSINESS SCHOOL - PARIS,PPA BUSINESS SCHOOL - PARIS,admissions@ppa.fr,FR,Commerce,33140790290,https://www.ppa.fr/ecole-commerce-alternance.html?utm_source=diplomeo&utm_medium=brand_content&utm_campaign=dossier_de_presse&utm_content=site_etablissement?utm_source=diplomeos,Paris 14e
commerce_school_42,ESLSCA Business School,ESLSCA Business School,communication@eslsca.fr,FR,Commerce,33173286244,Non trouvé,Paris
commerce_school_43,Ecole Pigier - Nice,Ecole Pigier - Nice,nice@pigier.com,FR,Commerce,33493298333,https://www.pigier.com/ecole-commerce-nice?utm_source=diplomeos,Nice
commerce_school_44,Ecole Pigier - Nîmes,Ecole Pigier - Nîmes,nimes@pigier.com,FR,Commerce,33466388700,https://www.pigier.com/ecole-commerce-nimes?utm_source=diplomeos,Nîmes
commerce_school_45,ESICAD - Ecole supérieure privée de commerce et gestion - Toulouse,ESICAD - Ecole supérieure privée de commerce et gestion - Toulouse,toulouse@esicad.com,FR,Commerce,33561390363,Non trouvé,Labège
commerce_school_46,Ecole Pigier - Montpellier,Ecole Pigier - Montpellier,montpellier@pigier.com,FR,Commerce,33467105858,https://www.pigier.com/ecole-commerce-montpellier?utm_source=diplomeos,Montpellier
commerce_school_47,Sup Career Paris -  Omnes Education,Sup Career Paris -  Omnes Education,admissions@supcareer.fr,FR,Commerce,33144522584,https://www.supcareer.com/?ept-publisher=diplomeo&ept-name=supk-psg-mixte-fall-2025&ept-location=na-national-psg-NA&utm_medium=partenariat&utm_campaign=supk-psg-mixte-fall-2025&utm_source=diplomeo&utm_content=na-national-psg-NA?utm_source=diplomeos,Paris
commerce_school_48,Talis  Bordeaux,Talis  Bordeaux,bordeaux@talis-bs.com,FR,Commerce,33557224242,https://www.talis.community/?utm_source=diplomeos,Bordeaux
commerce_school_49,Euridis Business School - Campus de Paris - Saint Lazare,Euridis Business School - Campus de Paris - Saint Lazare,admission@euridis-ecole.eu,FR,Commerce,330155999830,https://www.euridis-ecole.com/campus/campus-de-paris/?utm_source=diplomeo&utm_medium=fiche-ecole&utm_campaign=2022?utm_source=diplomeos,Paris 9e
commerce_school_50,IPAG Business School - Campus de Nice,IPAG Business School - Campus de Nice,admissions-paris@ipag.fr,FR,Commerce,33493133900,https://www.ipag.edu/?utm_source=diplomeos,Nice
commerce_school_51,Ecole Pigier - Aix-en-Provence,Ecole Pigier - Aix-en-Provence,aixenprovence@pigier.com,FR,Commerce,33495051880,https://www.pigier.com/ecole-commerce-aix-en-provence?utm_source=diplomeos,Aix-En-Provence
commerce_school_52,Ecole Pigier - Marseille,Ecole Pigier - Marseille,marseille@pigier.com,FR,Commerce,33495051880,https://www.pigier.com/ecole-commerce-marseille?utm_source=diplomeos,Marseille
commerce_school_53,MBway - Angers,MBway - Angers,angers@mbway.com,FR,Commerce,33241739691,https://www.mbway.com/mba-angers?utm_source=diplomeos,Angers
commerce_school_54,MBway - Lille,MBway - Lille,lille@mbway.com,FR,Commerce,3366729630,Non trouvé,Marcq-En-Barœul
commerce_school_55,MBway - Lyon,MBway - Lyon,lyon@mbway.com,FR,Commerce,33472913638,https://www.mbway.com/?utm_source=diplomeos,Lyon
commerce_school_56,MBway - Montpellier,MBway - Montpellier,montpellier@mbway.com,FR,Commerce,33467105766,https://www.mbway.com/?utm_source=diplomeos,Mauguio
commerce_school_57,KEDGE Business School Bordeaux,KEDGE Business School Bordeaux,info@kedgebs.com,FR,Commerce,33556845555,https://kedge.edu/?utm_source=Diplomeo&utm_medium=Partner&utm_campaign=Page_campus?utm_source=diplomeos,Bordeaux
commerce_school_58,IFAG - Institut de formation aux affaires et à la gestion - Nantes,IFAG - Institut de formation aux affaires et à la gestion - Nantes,nantes@ifag.com,FR,Commerce,33170798935,Non trouvé,Nantes
commerce_school_59,IFAG - Institut de formation aux affaires et à la gestion - Bordeaux,IFAG - Institut de formation aux affaires et à la gestion - Bordeaux,bordeaux@ifag.com,FR,Commerce,33557929303,Non trouvé,Bordeaux
commerce_school_60,IFAG - Institut de formation aux affaires et à la gestion - Lille,IFAG - Institut de formation aux affaires et à la gestion - Lille,flore.lefevere@ifag.fr,FR,Commerce,33366722244,Non trouvé,Lille
commerce_school_61,IFAG - Institut de formation aux affaires et à la gestion - Amiens,IFAG - Institut de formation aux affaires et à la gestion - Amiens,amiens@ifag.com,FR,Commerce,33322717101,Non trouvé,Amiens
commerce_school_62,Ecole Internationale de Management de Paris,Ecole Internationale de Management de Paris,info@eimparis.com,FR,Commerce,33142037700,https://eimparis.com/?utm_source=diplomeos,Paris
commerce_school_63,ISME Nantes,ISME Nantes,contact@isme.fr,FR,Commerce,33240505637,Non trouvé,Nantes
commerce_school_64,Ipac Bachelor Factory Angers,Ipac Bachelor Factory Angers,angers@ipacfactory.com,FR,Commerce,33241739744,https://www.ipacbachelorfactory.com/?utm_source=diplomeos,Angers
commerce_school_65,Ipac Bachelor Factory de Lille,Ipac Bachelor Factory de Lille,lille@ipacfactory.com,FR,Commerce,33366060698,https://www.ipacbachelorfactory.com/?utm_source=diplomeos,Marcq-En-Barœul
commerce_school_66,IPAC Bachelor Factory Paris-Ouest,IPAC Bachelor Factory Paris-Ouest,parisouest@ipacfactory.com,FR,Commerce,33179360069,https://www.ipacbachelorfactory.com/?utm_source=diplomeos,Levallois-Perret
commerce_school_67,Ipac Bachelor Factory Paris Sud,Ipac Bachelor Factory Paris Sud,parissud@ipacfactory.com,FR,Commerce,33141099920,https://www.ipacbachelorfactory.com/?utm_source=diplomeos,Boulogne-Billancourt
commerce_school_68,TALIS Bergerac,TALIS Bergerac,developpement.bgc@talis-bs.com,FR,Commerce,33553221200,https://www.talis.community//?utm_source=diplomeo&utm_campaign=2024&utm_medium=ficheecole?utm_source=diplomeos,Bergerac
commerce_school_69,H3 Campus Poissy,H3 Campus Poissy,contact@h3campus.fr,FR,Commerce,33130063306,https://www.h3campus.fr/?utm_source=diplomeos,Paris
