External ID,Name,Company Name,Email,Country,Mailing List,Phone,Website,City
communication_school_1,ECS Paris - Ecole de communication,ECS Paris - Ecole de communication,info@ecs-paris.com,FR,Communication,33146472990,Non trouvé,Paris
communication_school_2,ESUPCOM - ECOLE SUPERIEURE DE COMMUNICATION - LILLE,ESUPCOM - ECOLE SUPERIEURE DE COMMUNICATION - LILLE,lille@esupcom.com,FR,Communication,33320400012,https://www.esupcom.com/nos-ecoles/lille/?utm_source=diplomeos,Lille
communication_school_3,ESUPCOM - ECOLE SUPERIEURE DE COMMUNICATION - AIX-EN-PROVENCE,ESUPCOM - ECOLE SUPERIEURE DE COMMUNICATION - AIX-EN-PROVENCE,aix@esupcom.com,FR,Communication,33442646200,https://www.esupcom.com/nos-ecoles/aix-en-provence/?utm_source=diplomeos,Vitrolles
communication_school_4,ESP - Ecole supérieure de publicité - Paris,ESP - Ecole supérieure de publicité - Paris,plandi@espub.org,FR,Communication,33764363995,https://espub.org?utm_source=diplomeos,Paris
communication_school_5,Narratiiv,Narratiiv,admissions@narratiiv.school,FR,Communication,33153825713,https://www.narratiiv.school/?utm_source=diplomeos,Paris
communication_school_6,ISCOM - Institut supérieur de communication et de publicité - Montpellier,ISCOM - Institut supérieur de communication et de publicité - Montpellier,montpellier@iscom.fr,FR,Communication,33467105774,Non trouvé,Montpellier
communication_school_7,ISCOM - Institut supérieur de communication et de publicité - Lyon,ISCOM - Institut supérieur de communication et de publicité - Lyon,jean.gouix@iscom.fr,FR,Communication,33472913604,Non trouvé,Lyon 7e
communication_school_8,ISCOM - Institut supérieur de communication et de publicité - Lille,ISCOM - Institut supérieur de communication et de publicité - Lille,oceane.gautier@iscom.fr,FR,Communication,33328361610,Non trouvé,Lille
communication_school_9,ISCOM - Institut supérieur de communication et de publicité - Paris,ISCOM - Institut supérieur de communication et de publicité - Paris,infos@iscom.fr,FR,Communication,33155070777,Non trouvé,Paris
communication_school_10,SUP'DE COM - Lyon,SUP'DE COM - Lyon,lyon@ecoles-supdecom.com,FR,Communication,33786795077,https://www.ecoles-supdecom.com/?utm_source=diplomeos,Lyon
communication_school_11,Audencia SciencesCom - MediaCampus,Audencia SciencesCom - MediaCampus,sciencescom@audencia.com,FR,Communication,33240449000,https://www.audencia.com/?utm_source=diplomeos,Nantes
communication_school_12,Cesacom Paris,Cesacom Paris,elhem.aissaoui@cesacom.fr,FR,Communication,33183647522,Non trouvé,Paris
communication_school_13,Cesacom Lille,Cesacom Lille,infolille@cesacom.fr,FR,Communication,33320788118,Non trouvé,Lille
communication_school_14,SUP'DE COM - Bordeaux,SUP'DE COM - Bordeaux,bordeaux@ecoles-supdecom.com,FR,Communication,33535542836,Non trouvé,Bordeaux
communication_school_15,SUP'DE COM - Grenoble,SUP'DE COM - Grenoble,grenoble@ecoles-supdecom.com,FR,Communication,33458005441,Non trouvé,Saint-Martin-D'Hères
